rater_index,rater_mean,rater_median,rater_sd,rater_count
1,30.8,25,22.30036149,50
2,30.4,10,26.02667392,50
3,50.29411765,50,29.79579939,34
4,61.42857143,60,26.0950643,7
5,41.8,40,26.62590422,50
6,38,40,23.47382389,50
7,52,55,32.26168512,50
8,37.8,15,34.36241421,50
9,49.8,45,29.58833195,50
10,37,30,22.79008019,50
11,56.6,60,30.00748206,50
12,47,45,32.27749579,50
13,52,55,33.01205717,50
14,37.2,40,24.49822984,50
15,45.71428571,50,12.72418021,7
16,10,10,NA,1
17,53.92857143,50,24.84608706,28
18,61.2,60,34.44249866,50
19,47.2,35,35.85913483,50
20,33,20,25.25381361,50
21,25,30,15.35298947,22
22,14.28571429,10,7.867957925,7
23,46.19047619,40,29.06478806,21
24,56.6,60,22.91154241,50
25,39.8,35,30.27021167,50
26,43.2,40,21.70676562,50
27,18.8,10,13.19245301,50
28,31.66666667,15,30.60501048,6
29,39.2,40,18.71810212,50
30,22,20,14.14213562,25
31,58.57142857,70,27.94552524,7
32,36.2,25,28.20406687,50
33,43.15789474,20,37.42438771,19
34,43.33333333,60,28.86751346,3
35,30,30,NA,1
36,46,30,29.48538206,50
37,46,50,20.73644135,5
38,60.76923077,60,34.51123934,13
39,34.2,30,22.77574793,50
40,43.2,40,26.83585783,50
41,15.29411765,10,15.04893977,17
42,24.61538462,15,20.04610071,26
43,48.57142857,50,26.72612419,7
44,18.18181818,10,13.28019715,11
45,53.8,50,38.64490356,50
46,24.28571429,10,22.99068134,7
47,43.84615385,50,20.63106943,13
48,17.27272727,10,12.72077756,11
49,45.4,40,33.45481266,50
50,18,10,17.88854382,5
51,45.38461538,40,31.5212586,13
52,43.84615385,40,28.44247456,13
53,25,10,36.74234614,6
54,43.68421053,30,33.53448081,19
55,51.57894737,60,36.09603824,19
56,28,15,24.85513584,10
57,35,25,28.80972058,6
58,53.33333333,50,25.16611478,3
59,60,60,22.40626734,50
60,36,30,24.25246004,45
61,40.8,40,26.6373989,50
62,10,10,NA,1
63,32.5,20,33.04037934,4
64,33.33333333,10,40.41451884,3
65,25,10,21.46787286,24
66,17.5,20,5,4
67,17.14285714,10,14.37335753,14
68,12.30769231,10,5.870395086,26
69,38.57142857,20,30.59842702,14
70,43.33333333,20,49.32882862,3
71,15,15,7.071067812,2
72,16.66666667,10,11.54700538,3
73,59.16666667,50,21.514618,12
74,43.2,40,33.87722932,25
75,48.6,50,23.99064444,50
76,47.8,40,24.35201035,50
77,31.25,35,17.26888201,8
78,56.84210526,60,31.98135422,19
79,30.4,20,24.65765601,50
80,54.8,50,38.18536957,50
81,38.25,30,20.86433591,40
82,40,30,27.40475156,50
83,46,45,23.47382389,50
